"country","percPoverty","dataYear","lessThan10","lessThan550"
"Vanuatu",12.7,2010,92.99,73.44
"Russia",12.6,2018,22.42,3.27
"Denmark",12.5,2018,0.57,0.26
"Australia",12.4,2018,1.48,0.74
"Hungary",12.3,2018,6.77,1.94
"Finland",12.2,2019,0.3,0.19
"Slovenia",12,2018,0.62,0.07
"Canada",11.6,2018,1.5,0.74
"Mauritius",10.3,2017,41.7,10.3
"Czech Republic",10.1,2018,,
"Thailand",9.9,2018,37.2,6.17
"Indonesia",9.4,2019,83.31,52.84
"Uruguay",8.8,2019,16.77,3.16
"Iceland",8.8,2017,0.23,0.04
"Chile",8.6,2017,18.61,3.38
"Bhutan",8.2,2017,62.16,28.98
"Maldives",8.2,2016,16.9,1.98
"Moldova",7.3,2018,59.56,10.44
"Vietnam",6.7,2018,55.23,19.87
"Azerbaijan",6,2012,3.69,0
"Malaysia",5.6,2018,10.14,1.39
"Algeria",5.5,2011,68.3,20.83
"Belarus",5,2019,6.76,0.24
"Morocco",4.8,2013,61.66,24.1
"Kazakhstan",4.3,2018,40.98,3.67
"Sri Lanka",4.1,2016,74.61,37.32
"Ukraine",1.1,2019,25.39,2.48
"China",0.6,2019,43.34,14.1
"Iran",,2019,47.25,16.57
"South Korea",,2019,2.5,0.74
"Taiwan",,2019,0.5,0.25
"Somalia",,2019,99.63,97.87
"United Arab Emirates",,2019,0.73,0
"Turkmenistan",,2019,63.98,30.33
"Slovakia",,2019,6.13,2.45
"Trinidad and Tobago",,2019,22.15,6.12
"Guyana",,2019,53.95,23.84
"Suriname",,2019,62.34,38.31
"Cape Verde",,2019,65.72,34.23
"Belize",,2019,77.63,53.77
"Nauru",,2019,67.19,27.29
