"country","rateWb","yearWb","rateIlo","yearIlo","rateCia","yearCia"
"Lithuania",8.5,2020,8.5,2020,8.4,2019
"Tuvalu",8.5,2016,8.5,2016,,
"Barbados",8.4,2019,8.4,2019,10.1,2017
"Antigua and Barbuda",8.4,2001,,,11,2014
"Sweden",8.3,2020,8.3,2020,6.78,2019
"Puerto Rico",8.3,2019,8.3,2019,10.8,2017
"Turks and Caicos Islands",8.3,2008,,,10,1997
"United States",8.1,2020,8.1,2020,3.89,2018
"Latvia",8.1,2020,8.1,2020,6.14,2019
"Comoros",8.1,2014,8.1,2014,6.5,2014
"France",8,2020,8,2020,8.12,2019
"Bolivia",7.9,2020,3.8,2019,4,2017
"Suriname",7.9,2016,7.9,2016,8.9,2017
"Vanuatu",7.9,2019,7.9,2019,1.7,1999
"Egypt",7.8,2019,7.8,2019,7.86,2019
"Niger",7.8,2017,7.8,2017,0.3,2017
"Finland",7.8,2020,7.8,2020,6.63,2019
"Cyprus",7.6,2020,7.6,2020,7.07,2019
"Paraguay",7.5,2020,7.6,2020,5.7,2017
"Croatia",7.5,2020,7.5,2020,8.07,2019
"Saudi Arabia",7.4,2020,6,2018,6,2017
"Peru",7.4,2020,7.1,2020,6.58,2019
"Mongolia",7,2020,7,2020,8,2017
"Tajikistan",6.9,2016,6.9,2016,2.4,2016
"Portugal",6.8,2020,6.8,2020,6.55,2019
"Estonia",6.8,2020,6.8,2020,4.94,2019
"Luxembourg",6.8,2020,6.8,2020,5.36,2019
"Slovakia",6.7,2020,6.7,2020,5,2019
"Australia",6.5,2020,6.5,2020,5.16,2019
"Jamaica",6.5,2020,7.7,2019,7.72,2019
"Marshall Islands",6.4,2019,,,36,2006
"Gibraltar",6.4,1991,,,1,2016
"Mauritius",6.3,2019,6.3,2019,6.65,2019
"Monaco",6.3,2016,6.3,2016,2,2012
"Ecuador",6.1,2020,6.1,2020,5.71,2019
"Dominican Republic",6.1,2020,6.4,2019,5.1,2017
"Hong Kong",5.8,2020,2.9,2019,2.93,2019
"San Marino",5.8,2019,5.8,2019,8.1,2017
"Russia",5.6,2020,4.5,2019,4.6,2019
"Denmark",5.6,2020,5.6,2020,3.05,2019
"Ireland",5.6,2020,5.5,2020,4.98,2019
"Belgium",5.5,2020,5.6,2020,5.36,2019
"Iceland",5.5,2020,5.5,2020,3.62,2019
"Austria",5.4,2020,5.4,2020,7.35,2019
"Guam",5.4,2016,5.4,2016,4.5,2017
"Maldives",5.3,2019,5.3,2019,2.9,2017
"China",5.2,2019,5.2,2019,3.64,2019
"Nicaragua",5.2,2018,5.2,2018,6.4,2017
"Bulgaria",5.1,2020,5.1,2020,5.66,2019
"Saint Kitts and Nevis",5.1,2001,,,4.5,1997
"Kenya",5,2019,5,2019,40,2013
"Venezuela",5,2017,5.1,2017,6.9,2018
"Romania",5,2020,5,2020,3.06,2019
"Guinea",5,2019,5,2019,2.7,2017
"Slovenia",5,2020,5,2020,7.64,2019
"Kazakhstan",4.9,2020,4.8,2019,4.8,2019
"Azerbaijan",4.8,2019,4.9,2019,5,2017
"Switzerland",4.8,2020,4.8,2020,2.31,2019
"India",4.7,2020,5.3,2019,8.5,2017
"Burkina Faso",4.7,2018,4.7,2018,77,2004
"Timor-Leste",4.7,2016,4.7,2016,4.4,2014
"New Zealand",4.6,2020,4.6,2020,4.13,2019
"Mexico",4.5,2020,4.5,2020,3.49,2019
"DR Congo",4.5,2012,,,,
"Malaysia",4.5,2020,3.3,2019,3.3,2019
"Kyrgyzstan",4.5,2018,4.5,2018,3.18,2019
"Bangladesh",4.4,2017,4.4,2017,4.4,2017
"Norway",4.4,2020,4.4,2020,3.72,2019
"Indonesia",4.3,2020,4.3,2020,5.31,2018
"Sri Lanka",4.3,2018,4.8,2019,4.83,2019
"Hungary",4.3,2020,4.3,2020,3.45,2019
"Israel",4.3,2020,3.8,2019,4.4,2020
"Fiji",4.3,2016,4.3,2016,4.5,2017
"Malta",4.3,2020,4.3,2020,0.78,2019
"Seychelles",4.3,2020,3,2019,3,2017
"Ghana",4.2,2017,4.2,2017,11.9,2015
"Cayman Islands",4.2,2015,4.2,2015,4,2008
"Pakistan",4.1,2018,4.1,2018,6,2017
"Belarus",4.1,2020,4.2,2019,0.8,2017
"Singapore",4.1,2020,3.1,2019,2.25,2019
"Turkmenistan",4,2010,,,11,2014
"South Korea",3.9,2020,,,3.76,2019
"Germany",3.8,2020,3.8,2020,4.98,2019
"Netherlands",3.8,2020,3.8,2020,3.41,2019
"Moldova",3.8,2020,3.8,2020,4.99,2019
"United Kingdom",3.7,2019,3.7,2019,3.17,2019
"Togo",3.7,2017,3.7,2017,6.9,2016
"Faroe Islands",3.7,2004,,,2.2,2017
"Cameroon",3.5,2014,3.5,2014,4.3,2014
"Mozambique",3.4,2015,3.4,2015,24.5,2017
"Ivory Coast",3.3,2017,3.3,2017,9.4,2013
"British Virgin Islands",3.3,1991,,,2.9,2015
"Poland",3.2,2020,3.2,2020,5.43,2019
"Sierra Leone",3.2,2018,4.7,2014,15,2017
"Trinidad and Tobago",3.2,2016,3.2,2016,4.9,2017
"Guyana",3.2,2018,14,2018,11.1,2013
"Liberia",3.1,2016,3.1,2016,2.8,2014
"Tonga",3.1,2018,3.1,2018,1.1,2011
"Senegal",2.9,2019,3.6,2017,48,2007
"Oman",2.9,2020,1.8,2018,,
"Japan",2.8,2020,2.8,2020,2.36,2019
"Isle of Man",2.7,2016,2.7,2016,1.1,2017
"Papua New Guinea",2.6,2011,,,2.5,2017
"Macau",2.6,2020,1.8,2019,2,2017
"Philippines",2.5,2020,2.2,2019,5.11,2019
"Czech Republic",2.5,2020,2.6,2020,2.8,2019
"Bhutan",2.5,2015,2.5,2015,3.2,2017
"Vietnam",2.4,2020,2.4,2020,3.11,2018
"Ethiopia",2.3,2013,,,17.5,2012
"Guatemala",2.2,2019,2.2,2019,2.3,2017
"United Arab Emirates",2.2,2019,2.2,2019,1.6,2016
"Kuwait",2.2,2016,2.2,2016,1.1,2017
"Tanzania",2.1,2014,2.1,2014,10.3,2014
"Liechtenstein",2,2007,,,2.4,2015
"Madagascar",1.8,2015,1.8,2015,1.8,2017
"Cuba",1.7,2018,1.7,2018,2.6,2017
"Mali",1.6,2018,1.6,2018,7.9,2017
"Benin",1.5,2018,,,1,2014
"Palau",1.4,2014,1.4,2014,1.7,2015
"Malawi",1.3,2020,5.8,2017,20.4,2013
"Cambodia",1.2,2019,0.1,2017,0.3,2017
"Bahrain",1.2,2012,,,3.6,2017
"Thailand",1.1,2020,0.7,2019,0.99,2019
"Chad",1.1,2018,1.1,2018,,
"Solomon Islands",0.7,2013,,,,
"Myanmar",0.5,2019,0.5,2019,4,2017
"El Salvador",0.1,2020,4.2,2019,7,2017
"Qatar",0.1,2020,0.1,2019,8.9,2017
"North Korea",,,,,25.6,2013
"Taiwan",,,3.7,2019,3.73,2019
"Somalia",,,,,,
"Central African Republic",,,,,6.9,2017
"Eritrea",,,,,5.8,2017
"Guadeloupe",,,23.8,2016,,
"French Guiana",,,23.2,2016,,
"Jersey",,,4,2015,4,2015
"Andorra",,,,,3.7,2016
"Guernsey",,,1.2,2015,1.2,2016
"Sint Maarten",,,,,12,2012
"Cook Islands",,,1.3,2019,13.1,2005
"Anguilla",,,,,8,2002
"Wallis and Futuna",,,,,8.8,2013
"Saint Pierre and Miquelon",,,,,8.7,2015
"Montserrat",,,,,5.6,2017
"Falkland Islands",,,1,2016,1,2016
"Niue",,,,,12,2001
"Tokelau",,"---",,,2,2015
